Model,Price_Leasing,Term,DepositAmountLeasing,MonthlyPaymentWithoutServices,Mileage,TotalPaymentWithoutServices
"BMW iX M70 xDrive - Option ('36', '50000')","128.650,00 €",36 Monate,"22.792,54 €","2.070,31 €",50.000 km,"97.323,70 €"
"BMW iX M70 xDrive - Option ('36', '55000')","128.650,00 €",36 Monate,"22.792,54 €","2.136,96 €",55.000 km,"99.723,10 €"
"BMW iX M70 xDrive - Option ('36', '60000')","128.650,00 €",36 Monate,"22.792,54 €","2.203,62 €",60.000 km,"102.122,86 €"
"BMW iX M70 xDrive - Option ('36', '65000')","128.650,00 €",36 Monate,"22.792,54 €","2.270,27 €",65.000 km,"104.522,26 €"
"BMW iX M70 xDrive - Option ('36', '70000')","128.650,00 €",36 Monate,"22.792,54 €","2.336,92 €",70.000 km,"106.921,66 €"
"BMW iX M70 xDrive - Option ('36', '75000')","128.650,00 €",36 Monate,"22.792,54 €","2.403,57 €",75.000 km,"109.321,06 €"
"BMW iX M70 xDrive - Option ('36', '80000')","128.650,00 €",36 Monate,"22.792,54 €","2.470,22 €",80.000 km,"111.720,46 €"
"BMW iX M70 xDrive - Option ('42', '5000')","128.650,00 €",42 Monate,"22.792,54 €","1.278,00 €",5.000 km,"76.468,54 €"
"BMW iX M70 xDrive - Option ('42', '10000')","128.650,00 €",42 Monate,"22.792,54 €","1.362,72 €",10.000 km,"80.026,78 €"
"BMW iX M70 xDrive - Option ('42', '15000')","128.650,00 €",42 Monate,"22.792,54 €","1.390,96 €",15.000 km,"81.212,86 €"
"BMW iX M70 xDrive - Option ('42', '20000')","128.650,00 €",42 Monate,"22.792,54 €","1.447,44 €",20.000 km,"83.585,02 €"
"BMW iX M70 xDrive - Option ('42', '25000')","128.650,00 €",42 Monate,"22.792,54 €","1.532,15 €",25.000 km,"87.142,84 €"
"BMW iX M70 xDrive - Option ('42', '30000')","128.650,00 €",42 Monate,"22.792,54 €","1.645,11 €",30.000 km,"91.887,16 €"
"BMW iX M70 xDrive - Option ('42', '35000')","128.650,00 €",42 Monate,"22.792,54 €","1.729,82 €",35.000 km,"95.444,98 €"
"BMW iX M70 xDrive - Option ('42', '40000')","128.650,00 €",42 Monate,"22.792,54 €","1.814,54 €",40.000 km,"99.003,22 €"
"BMW iX M70 xDrive - Option ('42', '45000')","128.650,00 €",42 Monate,"22.792,54 €","1.871,02 €",45.000 km,"101.375,38 €"
"BMW iX M70 xDrive - Option ('42', '50000')","128.650,00 €",42 Monate,"22.792,54 €","1.955,73 €",50.000 km,"104.933,20 €"
"BMW iX M70 xDrive - Option ('42', '55000')","128.650,00 €",42 Monate,"22.792,54 €","2.012,21 €",55.000 km,"107.305,36 €"
"BMW iX M70 xDrive - Option ('42', '60000')","128.650,00 €",42 Monate,"22.792,54 €","2.012,21 €",55.000 km,"107.305,36 €"
"BMW iX M70 xDrive - Option ('42', '65000')","128.650,00 €",42 Monate,"22.792,54 €","2.012,21 €",55.000 km,"107.305,36 €"
"BMW iX M70 xDrive - Option ('42', '70000')","128.650,00 €",42 Monate,"22.792,54 €","2.012,21 €",55.000 km,"107.305,36 €"
"BMW iX M70 xDrive - Option ('42', '75000')","128.650,00 €",42 Monate,"22.792,54 €","2.012,21 €",55.000 km,"107.305,36 €"
"BMW iX M70 xDrive - Option ('42', '80000')","128.650,00 €",42 Monate,"22.792,54 €","2.012,21 €",55.000 km,"107.305,36 €"
"BMW iX M70 xDrive - Option ('48', '5000')","128.650,00 €",48 Monate,"22.792,54 €","1.267,03 €",5.000 km,"83.609,98 €"
"BMW iX M70 xDrive - Option ('48', '10000')","128.650,00 €",48 Monate,"22.792,54 €","1.339,55 €",10.000 km,"87.090,94 €"
"BMW iX M70 xDrive - Option ('48', '15000')","128.650,00 €",24 Monate,"22.792,54 €","1.671,51 €",15.000 km,"62.908,78 €"
"BMW iX M70 xDrive - Option ('48', '20000')","128.650,00 €",48 Monate,"22.792,54 €","1.412,06 €",20.000 km,"90.571,42 €"
"BMW iX M70 xDrive - Option ('48', '25000')","128.650,00 €",48 Monate,"22.792,54 €","1.532,92 €",25.000 km,"96.372,70 €"
"BMW iX M70 xDrive - Option ('48', '30000')","128.650,00 €",48 Monate,"22.792,54 €","1.605,43 €",30.000 km,"99.853,18 €"
"BMW iX M70 xDrive - Option ('48', '35000')","128.650,00 €",48 Monate,"22.792,54 €","1.677,94 €",35.000 km,"103.333,66 €"
"BMW iX M70 xDrive - Option ('48', '40000')","128.650,00 €",48 Monate,"22.792,54 €","1.750,46 €",40.000 km,"106.814,62 €"
"BMW iX M70 xDrive - Option ('48', '45000')","128.650,00 €",48 Monate,"22.792,54 €","1.798,80 €",45.000 km,"109.134,94 €"
"BMW iX M70 xDrive - Option ('48', '50000')","128.650,00 €",48 Monate,"22.792,54 €","1.871,31 €",50.000 km,"112.615,42 €"
"BMW iX M70 xDrive - Option ('48', '55000')","128.650,00 €",48 Monate,"22.792,54 €","1.871,31 €",50.000 km,"112.615,42 €"
"BMW iX M70 xDrive - Option ('48', '60000')","128.650,00 €",48 Monate,"22.792,54 €","1.871,31 €",50.000 km,"112.615,42 €"
"BMW iX M70 xDrive - Option ('48', '65000')","128.650,00 €",48 Monate,"22.792,54 €","1.871,31 €",50.000 km,"112.615,42 €"
"BMW iX M70 xDrive - Option ('48', '70000')","128.650,00 €",48 Monate,"22.792,54 €","1.871,31 €",50.000 km,"112.615,42 €"
"BMW iX M70 xDrive - Option ('48', '75000')","128.650,00 €",48 Monate,"22.792,54 €","1.871,31 €",50.000 km,"112.615,42 €"
"BMW iX M70 xDrive - Option ('48', '80000')","128.650,00 €",48 Monate,"22.792,54 €","1.871,31 €",50.000 km,"112.615,42 €"
