"_STATUS","Position","_PREV_Position","Vehicle Name","Vehicle Type","Availability","Engine Type","Transmission","Power","Color","Mileage","Registration Date","Monthly Rate","Vehicle Price","Down Payment","Loan Amount","Final Payment","Annual Interest Rate","CO2 Emissions","Details Link","Vehicle Image","_PREV_Vehicle Name","_PREV_Vehicle Type","_PREV_Availability","_PREV_Engine Type","_PREV_Transmission","_PREV_Power","_PREV_Color","_PREV_Mileage","_PREV_Registration Date","_PREV_Monthly Rate","_PREV_Vehicle Price","_PREV_Down Payment","_PREV_Loan Amount","_PREV_Final Payment","_PREV_Annual Interest Rate","_PREV_CO2 Emissions","_PREV_Details Link","_PREV_Vehicle Image"
"ADDED",23,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Dark Knight","25.377 Km","01/2023","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efb0eaa8cb0d5f5762db53","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/73210512f6bbcd781393b720a64afddd2_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,24,,,,,,,,,,,,,,,,,,,"Hyundai i20 1.0 Turbo Trend Klimaaut. Navi Apple TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","74 kW (101 Ps)","Grau / Aurora Grey","9.606 Km","06/2024","195 €","20.990 €","4.198 €","16.792 €","12.594 €","6.49 %","119 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67d94bfba97bf6d8f582ab3d","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/d70e78888fe4de6eb0fbfb36104b0feda_ori_small.jpg"
"ADDED",24,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Dark Knight","16.996 Km","09/2022","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efb0a4a8cb0d5f5762d18c","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/73210512f6bbcd781393b720a64afddd2_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,25,,,,,,,,,,,,,,,,,,,"Hyundai i30 Kombi 1.5 Turbo DCT 48V Trend Apple PDC TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Automatik","118 kW (160 Ps)","Rot / Engine Red","15.548 Km","05/2024","204 €","21.990 €","4.398 €","17.592 €","13.194 €","6.49 %","142 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67d3e2cff14befe1c1832b3f","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/d70e78888fe4de6eb0fbfb36104b0feda_ori_small.jpg"
"ADDED",25,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Dark Knight","17.966 Km","07/2023","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efb040a8cb0d5f5762c500","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/73210512f6bbcd781393b720a64afddd2_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,26,,,,,,,,,,,,,,,,,,,"Hyundai i30 1.0 Turbo DCT 48V Trend Navi LED TOP Apple","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Automatik","88 kW (120 Ps)","Rot / Engine Red","15.327 Km","06/2024","204 €","21.990 €","4.398 €","17.592 €","13.194 €","6.49 %","140 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67d2e3a8f14befe1c169efe8","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/d70e78888fe4de6eb0fbfb36104b0feda_ori_small.jpg"
"ADDED",26,,"Hyundai i30 1.0 Turbo 48V Trend Klimaaut. 17 Alu TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Schaltgetriebe","88 kW (120 Ps)","Grau / Dark Knight","20.221 Km","08/2022","167 €","17.990 €","3.598 €","14.392 €","10.794 €","6.49 %","115 g/km CO₂;","https://darmas.de/fahrzeugmarkt/details/67efafa6a8cb0d5f5762b55f","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/73210512f6bbcd781393b720a64afddd2_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,27,,,,,,,,,,,,,,,,,,,"BMW 218i Gran Tourer Aut M-Sport Navi Pano 7-Sitzer","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Automatik","103 kW (140 Ps)","Grau / Mineralgrau Metallic","76.100 Km","11/2019","204 €","21.990 €","4.398 €","17.592 €","13.194 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67d14d0cf14befe1c12a2f79","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/aa43d6dab2b7f7b421007a736f63019e_ori_small.jpg"
"ADDED",27,,"Opel Mokka GS Line 1.2 8-A/T Navi DAB LED 1. Hd. TOP","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Automatik","96 kW (131 Ps)","Grün / Matcha Green Met./ Dach Schwarz","6.212 Km","03/2024","218 €","23.490 €","4.698 €","18.792 €","14.094 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67efadf9a8cb0d5f57629cf2","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/44b150a1c98010f3a23c10d6f75a8accb_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,28,,,,,,,,,,,,,,,,,,,"Mercedes-Benz CLA 200 Shooting Brake 7G-DCT AMG Line 19"" Navi","Gebrauchtfahrzeug","Sofort verfügbar","Benzin","Automatik","120 kW (163 Ps)","Schwarz / Kosmosschwarz Metallic","61.300 Km","12/2020","250 €","26.990 €","5.398 €","21.592 €","16.194 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67b82f2aeaf635476efc96c0","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/aa43d6dab2b7f7b421007a736f63019e_ori_small.jpg"
"ADDED",28,,"Hyundai TUCSON Plug-in-Hybrid N Line 4WD Navi 19 Alu","Gebrauchtfahrzeug",,"Hybrid (Benzin/Elektro)","Automatik","195 kW (265 Ps)","Silber / Shimmering Silver","61.082 Km","03/2022","278 €","29.990 €","5.998 €","23.992 €","17.994 €","6.49 %","CO₂-Klasse: B;","https://darmas.de/fahrzeugmarkt/details/67efaca2a8cb0d5f5761ae0e","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/dp24VehicleId/4c966b73a95d01cd8136d850a06decad_ori_small.jpg",,,,,,,,,,,,,,,,,,
"REMOVED",,29,,,,,,,,,,,,,,,,,,,"Jeep COMPASS MY2 1.5 MHEV Summit","Gebrauchtfahrzeug","Sofort verfügbar","Hybrid (Benzin/Elektro)","Automatik","96 kW (131 Ps)","Weiß / weiß","27.220 Km","04/2024","269 €","28.990 €","5.798 €","23.192 €","17.394 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67daa2645f4274591bcb13ec","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/placebo/aa43d6dab2b7f7b421007a736f63019e_ori_small.jpg"
"ADDED",29,,"Hyundai H350 2.5 L3H2 Werkstattausrüstung Tachograph","Gebrauchtfahrzeug","Sofort verfügbar","Diesel","Schaltgetriebe","125 kW (170 Ps)","Schwarz / Weiß","88.500 Km","12/2017","209 €","22.490 €","4.498 €","17.992 €","13.494 €","6.49 %",,"https://darmas.de/fahrzeugmarkt/details/67b6ff4ceaf635476eea3c62","https://darmas-vehicle-images.s3.eu-central-1.amazonaws.com/carcutter-download/0241ce9a65ca5288c5cc4ada31a6a48a_ori_small.jpg",,,,,,,,,,,,,,,,,,
